,date,name,category,value
0,2012,Black,Black,99
1,2012,Natural,Natural,12
2,2012,Navy,Navy,15
3,2012,White,White,39
4,2013,Black,Black,219
5,2013,Java,Java,4
6,2013,Natural,Natural,34
7,2013,Navy,Navy,34
8,2013,White,White,92
9,2014,Black,Black,279
10,2014,Chili Pepper Red,Chili Pepper Red,2
11,2014,Java,Java,2
12,2014,Natural,Natural,36
13,2014,Navy,Navy,54
14,2014,White,White,135
15,2015,Black,Black,316
16,2015,Ivory,Ivory,20
17,2015,Java,Java,3
18,2015,Natural,Natural,31
19,2015,Navy,Navy,54
20,2015,White,White,165
21,2016,Black,Black,241
22,2016,Chili Pepper Red,Chili Pepper Red,2
23,2016,Ivory,Ivory,15
24,2016,Java,Java,3
25,2016,Natural,Natural,50
26,2016,Navy,Navy,37
27,2016,White,White,148
28,2017,Black,Black,212
29,2017,ChiliPepperRed,ChiliPepperRed,5
30,2017,FuchsiaPurple,FuchsiaPurple,13
31,2017,Ivory,Ivory,27
32,2017,Java,Java,1
33,2017,Natural,Natural,39
34,2017,Navy,Navy,42
35,2017,SlateGray,SlateGray,29
36,2017,White,White,127
37,2018,Black,Black,173
38,2018,ChiliPepperRed,ChiliPepperRed,16
39,2018,FuchsiaPurple,FuchsiaPurple,12
40,2018,Ivory,Ivory,18
41,2018,Natural,Natural,35
42,2018,Navy,Navy,49
43,2018,SlateGray,SlateGray,38
44,2018,White,White,154
45,2019,Black,Black,188
46,2019,Bluestone,Bluestone,16
47,2019,ChiliPepperRed,ChiliPepperRed,15
48,2019,FuchsiaPurple,FuchsiaPurple,15
49,2019,Ivory,Ivory,25
50,2019,Java,Java,1
51,2019,Natural,Natural,5
52,2019,Navy,Navy,37
53,2019,SlateGray,SlateGray,34
54,2019,White,White,100
55,2020,Black,Black,179
56,2020,Bluestone,Bluestone,14
57,2020,ChiliPepperRed,ChiliPepperRed,11
58,2020,FuchsiaPurple,FuchsiaPurple,20
59,2020,Ivory,Ivory,30
60,2020,Natural,Natural,13
61,2020,Navy,Navy,52
62,2020,SlateGray,SlateGray,27
63,2020,White,White,109
64,2021,Black,Black,22
65,2021,Bluestone,Bluestone,3
66,2021,ChiliPepperRed,ChiliPepperRed,1
67,2021,FuchsiaPurple,FuchsiaPurple,5
68,2021,Ivory,Ivory,4
69,2021,Natural,Natural,1
70,2021,Navy,Navy,4
71,2021,SlateGray,SlateGray,10
72,2021,White,White,16
