year,count_total,color,Black,Natural,Navy,White,Java,ChiliPepperRed,Ivory,FuchsiaPurple,SlateGray,Bluestone
2012,109,Black,109,12,15,43,0,0,0,0,0,0
2013,242,Black,242,40,34,106,4,0,0,0,0,0
2014,313,Black,313,42,58,149,2,2,0,0,0,0
2015,356,Black,356,34,56,190,3,0,20,0,0,0
2016,333,Black,333,54,39,184,3,2,18,0,0,0
2017,250,Black,250,42,44,150,1,5,30,13,29,0
2018,198,Black,198,38,50,182,0,17,19,12,40,0
2019,227,Black,227,6,38,116,1,15,28,16,36,16
2020,218,Black,218,14,56,123,0,11,30,21,27,15
2021,24,Black,24,1,4,16,0,1,4,5,10,3
